he2022
105
pe
wavel  k
5.1512000058  n  1.27731
5.1599799939  n  1.27647
5.1687700063  n  1.27605
5.1775499941  n  1.27551
5.1863300041  n  1.27458
5.1951200056  n  1.27417
5.20389999  n  1.27342
5.2126900019  n  1.27266
5.221470008  n  1.27246
5.2302499876  n  1.27183
5.2390400017  n  1.27121
5.2478200083  n  1.27035
5.2566000096  n  1.27009
5.2653900044  n  1.26935
5.2741700008  n  1.26903
5.2829499942  n  1.26829
5.2917400029  n  1.26727
5.3005200049  n  1.26675
5.309299987  n  1.26615
5.3180900139  n  1.26537
5.3268700076  n  1.26454
5.3356500014  n  1.26406
5.3444399918  n  1.26333
5.3532199889  n  1.26256
5.3619999865  n  1.26245
5.3707899962  n  1.26166
5.3795700059  n  1.26067
5.388360013  n  1.26003
5.3971399918  n  1.259
5.4059199905  n  1.25892
5.4147100138  n  1.25794
5.4234899888  n  1.2572
5.4322700067  n  1.25655
5.4410599951  n  1.25596
5.4498400131  n  1.25503
5.4586199868  n  1.25453
5.4674100019  n  1.25334
5.4761899859  n  1.25302
5.4849699947  n  1.25193
5.4937600033  n  1.25174
5.502539989  n  1.25065
5.5113199867  n  1.2499
5.5201100092  n  1.24842
5.5288899956  n  1.24807
5.5376799861  n  1.24722
5.5464600082  n  1.24614
5.5552399871  n  1.24527
5.564030006  n  1.24448
5.572809997  n  1.2436
5.5815900139  n  1.24259
5.5903799891  n  1.24205
5.5991600095  n  1.24064
5.6079400086  n  1.23992
5.6167300145  n  1.23866
5.6255099912  n  1.23771
5.6342900005  n  1.23707
5.6430800086  n  1.23624
5.6518599842  n  1.23462
5.6606399908  n  1.23307
5.6694299941  n  1.23259
5.678210002  n  1.23158
5.6869900145  n  1.23068
5.6957799949  n  1.2294
5.7045599937  n  1.22848
5.7133499981  n  1.22754
5.7221300025  n  1.22654
5.7309100035  n  1.22555
5.7396999907  n  1.22473
5.7484800056  n  1.22447
5.7572600085  n  1.22356
5.7660500164  n  1.22312
5.7748299889  n  1.22266
5.7836100138  n  1.22267
5.7924000016  n  1.22288
5.8011799983  n  1.22297
5.8099599854  n  1.22351
5.818749999  n  1.22409
5.827530007  n  1.22487
5.8363100168  n  1.22592
5.8450999872  n  1.22723
5.8538800131  n  1.22862
5.8626699923  n  1.22979
5.8714500039  n  1.23159
5.8802300052  n  1.23291
5.8890200046  n  1.23474
5.8978000079  n  1.23627
5.9065799951  n  1.23813
5.9153699964  n  1.23983
5.924150015  n  1.24119
5.9329299827  n  1.24341
5.9417199859  n  1.24474
5.9504999922  n  1.24636
5.9592799895  n  1.24818
5.9680700138  n  1.24956
5.9768499984  n  1.25102
5.9856299868  n  1.25266
5.9944199982  n  1.25378
6.0032000058  n  1.25505
6.0119800004  n  1.25649
6.0207699827  n  1.25765
6.0295500046  n  1.25841
6.0383399929  n  1.25977
6.0471199935  n  1.26109
6.0559000024  n  1.26194
6.0646899861  n  1.26304
6.0734700013  n  1.26411
6.0822499868  n  1.26503
6.0910399973  n  1.26589
6.0998199919  n  1.2665
6.108599998  n  1.2671
6.1173900104  n  1.26741
6.1261700027  n  1.2676
6.134950017  n  1.26808
6.1437399851  n  1.26834
6.1525200113  n  1.2685
6.1612999998  n  1.26924
6.1700900074  n  1.26965
6.178870007  n  1.27027
6.1876599831  n  1.27057
6.1964399866  n  1.27123
6.2052199912  n  1.27192
6.2140100075  n  1.2723
6.2227899951  n  1.2726
6.2315700148  n  1.27262
6.2403600089  n  1.27335
6.2491400012  n  1.27393
6.2579199844  n  1.27467
6.2667099863  n  1.27445
6.2754899813  n  1.27511
6.2842700096  n  1.27578
6.2930599876  n  1.2762
6.3018399993  n  1.27699
6.3106200131  n  1.27775
6.3194099901  n  1.27773
6.3281900083  n  1.27787
6.3369700021  n  1.27805
6.3457600173  n  1.2785
6.3545400071  n  1.27896
6.3633299924  n  1.27938
6.3721100187  n  1.27985
6.3808900002  n  1.27993
6.3896800023  n  1.28021
6.3984599879  n  1.28047
6.4072399967  n  1.28052
6.4160300147  n  1.28061
6.4248100052  n  1.28059
6.4335900102  n  1.28078
6.4423800167  n  1.28106
6.4511599902  n  1.28137
6.459940016  n  1.28191
6.4687299975  n  1.28197
6.4775099882  n  1.28223
6.4862899905  n  1.28221
6.4950799899  n  1.28218
6.5038600051  n  1.28284
6.5126500053  n  1.28274
6.5214299863  n  1.28309
6.5302100053  n  1.28312
6.5390000151  n  1.28297
6.5477799788  n  1.28316
6.5565599943  n  1.28391
6.5653500102  n  1.28373
6.5741300017  n  1.28357
6.5829100204  n  1.2836
6.5917000095  n  1.28392
6.6004800014  n  1.28385
6.6092600002  n  1.2839
6.6180499861  n  1.28374
6.6268300082  n  1.28405
6.6356100211  n  1.28396
6.6443999977  n  1.28383
6.6531800055  n  1.2844
6.6619599919  n  1.28456
6.6707500106  n  1.28467
6.6795300165  n  1.28477
6.6883200135  n  1.2847
6.6970999856  n  1.28462
6.7058800154  n  1.28456
6.7146700217  n  1.28479
6.723450012  n  1.28467
6.7322300146  n  1.28461
6.7410199823  n  1.28474
6.7497999933  n  1.28502
6.7585800207  n  1.28503
6.7673700048  n  1.2851
6.7761500065  n  1.28513
6.7849299866  n  1.28518
6.7937200102  n  1.28522
6.802499984  n  1.28527
6.8112799946  n  1.28529
6.8200700011  n  1.28533
6.8288499873  n  1.28535
6.8376399856  n  1.28538
6.8464200176  n  1.28542
6.8552000229  n  1.28543
6.863989997  n  1.28546
6.8727699966  n  1.28547
6.8815499926  n  1.28549
6.8903400113  n  1.28549
6.8991200048  n  1.28551
6.9079000223  n  1.28548
6.9166899771  n  1.28551
6.9254700033  n  1.2855
6.9342499894  n  1.2855
6.9430400217  n  1.28549
6.9518199875  n  1.28549
6.960599997  n  1.28547
6.9693900209  n  1.28546
6.9781699885  n  1.28543
6.9869499914  n  1.2854
6.9957399791  n  1.28538
7.0045200238  n  1.28535
7.0133099859  n  1.28533
7.0220899853  n  1.28529
7.030869998  n  1.28526
7.0396600013  n  1.28522
7.0484400163  n  1.28517
7.0572199962  n  1.28512
7.0660099941  n  1.28507
7.074789982  n  1.28499
7.0835699895  n  1.28495
7.0923599956  n  1.28488
7.1011400248  n  1.2848
7.1099199815  n  1.28472
7.1187100208  n  1.28466
7.1274900198  n  1.28459
7.1362700088  n  1.28452
7.1450600159  n  1.28446
7.1538400247  n  1.2844
7.1626299922  n  1.2843
7.1714100094  n  1.28421
7.1801899765  n  1.28413
7.1889799953  n  1.28404
7.197760011  n  1.28396
7.2065399985  n  1.28387
7.2153299787  n  1.28378
7.2241100106  n  1.28369
7.2328899876  n  1.2836
7.2416800049  n  1.28351
7.2504599764  n  1.28342
7.2592399744  n  1.28333
7.268030011  n  1.28322
7.276810013  n  1.2831
7.2855900217  n  1.28299
7.2943800165  n  1.28287
7.3031599919  n  1.28275
7.3119400105  n  1.28264
7.3207300182  n  1.28252
7.3295100264  n  1.2824
7.3383000269  n  1.28228
7.3470799894  n  1.28216
7.3558599925  n  1.28204
7.3646499952  n  1.28192
7.3734299866  n  1.28174
7.3822100107  n  1.28161
7.3909999897  n  1.28145
7.3997799883  n  1.28131
7.4085600147  n  1.28114
7.417350008  n  1.281
7.4261300013  n  1.28082
7.4349100207  n  1.28067
7.4437000215  n  1.28045
7.4524800065  n  1.28029
7.4612600188  n  1.2801
7.4700499738  n  1.27991
7.4788300124  n  1.27972
7.4876200065  n  1.27955
7.4964000038  n  1.27937
7.5051800002  n  1.27921
7.513969973  n  1.27904
7.5227499996  n  1.27889
7.5315299783  n  1.27867
7.5403200139  n  1.27851
7.549099988  n  1.27831
7.5578799832  n  1.27815
7.5666700051  n  1.27796
7.575450024  n  1.27781
7.5842300225  n  1.27763
7.5930200192  n  1.27744
7.6018000181  n  1.27724
7.6105800152  n  1.27705
7.6193699837  n  1.27686
7.6281500217  n  1.27668
7.6369300216  n  1.2765
7.6457200265  n  1.27632
7.6544999971  n  1.27612
7.6632899963  n  1.2759
7.672070011  n  1.27571
7.6808499911  n  1.2755
7.6896399787  n  1.27532
7.6984200009  n  1.2751
7.7072000185  n  1.27494
7.7159900244  n  1.27471
7.7247700282  n  1.2745
7.7335500006  n  1.27426
7.7423400037  n  1.27407
7.751119971  n  1.27384
7.7599000028  n  1.27364
7.7686899901  n  1.27341
7.7774699714  n  1.27321
7.7862499964  n  1.273
7.7950400238  n  1.27276
7.8038200183  n  1.27253
7.8126099869  n  1.27228
7.8213899874  n  1.27207
7.8301700021  n  1.27181
7.8389599807  n  1.2716
7.8477399698  n  1.27136
7.8565200203  n  1.27114
7.8653100265  n  1.27087
7.8740900249  n  1.27061
7.8828700111  n  1.27036
7.8916600085  n  1.27008
7.9004399826  n  1.26983
7.9092199976  n  1.26953
7.9180100198  n  1.26934
7.9267900065  n  1.26904
7.9355700277  n  1.26881
7.9443599906  n  1.26852
7.953139972  n  1.26825
7.9619199839  n  1.268
7.9707100001  n  1.26772
7.9794900295  n  1.26748
7.9882799791  n  1.26715
7.9970600248  n  1.26691
8.005839972  n  1.26663
8.0146299697  n  1.26637
8.0234099996  n  1.26609
8.0321899974  n  1.26578
8.0409799861  n  1.26552
8.0497600101  n  1.26522
8.0585400067  n  1.26498
8.0673300007  n  1.26464
8.0761099711  n  1.26436
8.0848899866  n  1.26408
8.0936800079  n  1.26378
8.1024600146  n  1.26351
8.1112400113  n  1.26317
8.120030024  n  1.26289
8.1288099682  n  1.26255
8.1375999801  n  1.26226
8.1463800216  n  1.26197
8.1551600091  n  1.26162
8.1639500116  n  1.26134
8.1727299946  n  1.26097
8.1815100066  n  1.2607
8.190299982  n  1.26037
8.1990800255  n  1.26003
8.207859983  n  1.25973
8.2166499878  n  1.25932
8.2254300175  n  1.25908
8.2342099822  n  1.25871
8.2430000135  n  1.25837
8.2517800286  n  1.25804
8.2605600025  n  1.25763
8.2693499958  n  1.25741
8.2781300026  n  1.25698
8.2869099945  n  1.25666
8.2957000284  n  1.25632
8.3044799713  n  1.25587
8.3132700182  n  1.25564
8.3220500205  n  1.25519
8.3308299883  n  1.25491
8.3396200169  n  1.25459
8.348399969  n  1.25418
8.3571799893  n  1.25419
8.3659700282  n  1.25321
8.3747500315  n  1.2525
8.3835299987  n  1.25217
8.3923200134  n  1.25212
8.4010999661  n  1.25207
8.4098799909  n  1.25185
8.4186700239  n  1.25121
8.4274499709  n  1.25041
8.436230031  n  1.24988
8.4450199894  n  1.24943
8.4537999831  n  1.24857
8.4625900165  n  1.24791
8.4713700012  n  1.24756
8.4801500295  n  1.24699
8.4889399893  n  1.24681
8.4977200277  n  1.24643
8.5065000123  n  1.24579
8.5152899653  n  1.24491
8.5240699833  n  1.24464
8.5328499963  n  1.24458
8.5416400167  n  1.2443
8.5504200184  n  1.24347
8.5591999935  n  1.24252
8.5679900167  n  1.24217
8.5767700123  n  1.24185
8.5855500351  n  1.24134
8.5943400014  n  1.24142
8.6031200075  n  1.24138
8.6119000234  n  1.24095
8.6206900268  n  1.24
8.6294699921  n  1.23862
8.638260025  n  1.23774
8.6470400188  n  1.23721
8.6558199721  n  1.23686
8.6646099655  n  1.23526
8.6733899953  n  1.23514
8.6821699719  n  1.2356
8.6909599624  n  1.23605
8.6997399926  n  1.2345
8.7085200346  n  1.2337
8.7173099895  n  1.23354
8.7260899899  n  1.23395
8.7348699932  n  1.23241
8.7436600377  n  1.23125
8.7524399833  n  1.23067
8.7612200016  n  1.23056
8.7700099617  n  1.23029
8.7787899869  n  1.22991
8.7875799649  n  1.22943
8.796360017  n  1.22797
8.8051400322  n  1.22728
8.8139299792  n  1.22696
8.8227100155  n  1.22631
8.831490013  n  1.22511
8.8402800003  n  1.22411
8.849060017  n  1.22353
8.8578399945  n  1.22371
8.8666300221  n  1.22339
8.8754100206  n  1.22287
8.8841899816  n  1.22296
8.8929799759  n  1.22288
8.9017599634  n  1.22246
8.9105399962  n  1.22149
8.9193299674  n  1.22065
8.9281100366  n  1.22
8.9368899975  n  1.2195
8.9456799616  n  1.21791
8.9544599716  n  1.21721
8.9632500027  n  1.21686
8.9720300194  n  1.21559
8.9808099938  n  1.21534
8.9895999767  n  1.21515
8.9983799767  n  1.21409
9.0071600257  n  1.21377
9.0159499909  n  1.21363
9.0247300074  n  1.2135
9.0335100041  n  1.21341
9.0422999879  n  1.21279
9.051079978  n  1.21145
9.0598599625  n  1.21074
9.068650007  n  1.21017
9.0774300151  n  1.20973
