mastrapa2008Ia
97.5
ne
wavel, n, k
1.192945 1.289863 1.410180E-05
1.193082 1.289863 1.332583E-05
1.193220 1.289862 1.225063E-05
1.193357 1.289862 1.440177E-05
1.193494 1.289862 1.397228E-05
1.193632 1.289863 1.398232E-05
1.193769 1.289863 1.333200E-05
1.193907 1.289862 1.299993E-05
1.194044 1.289862 1.449832E-05
1.194182 1.289862 1.379080E-05
1.194319 1.289862 1.364087E-05
1.194457 1.289861 1.493042E-05
1.194594 1.289862 1.493419E-05
1.194732 1.289862 1.472291E-05
1.194870 1.289862 1.391601E-05
1.195007 1.289862 1.553026E-05
1.195145 1.289863 1.600886E-05
1.195283 1.289863 1.374065E-05
1.195421 1.289862 1.285961E-05
1.195559 1.289861 1.318157E-05
1.195697 1.289861 1.443001E-05
1.195834 1.289861 1.548009E-05
1.195972 1.289862 1.520117E-05
1.196110 1.289861 1.466938E-05
1.196248 1.289861 1.529375E-05
1.196386 1.289862 1.589522E-05
1.196524 1.289862 1.503424E-05
1.196662 1.289862 1.421959E-05
1.196801 1.289861 1.493250E-05
1.196939 1.289862 1.574907E-05
1.197077 1.289861 1.398575E-05
1.197215 1.289860 1.480560E-05
1.197353 1.289861 1.640777E-05
1.197492 1.289862 1.689289E-05
1.197630 1.289862 1.509873E-05
1.197768 1.289861 1.390617E-05
1.197907 1.289861 1.585729E-05
1.198045 1.289861 1.528775E-05
1.198184 1.289861 1.452997E-05
1.198322 1.289860 1.502452E-05
1.198460 1.289860 1.587615E-05
1.198599 1.289861 1.649379E-05
1.198738 1.289861 1.613274E-05
1.198876 1.289861 1.651446E-05
1.199015 1.289861 1.693393E-05
1.199153 1.289862 1.588611E-05
1.199292 1.289861 1.471482E-05
1.199431 1.289860 1.456805E-05
1.199570 1.289860 1.601568E-05
1.199708 1.289860 1.720328E-05
1.199847 1.289861 1.663326E-05
1.199986 1.289861 1.585690E-05
1.200125 1.289860 1.648729E-05
1.200264 1.289861 1.794716E-05
1.200403 1.289861 1.666324E-05
1.200542 1.289861 1.629615E-05
1.200681 1.289861 1.649060E-05
1.200820 1.289861 1.581382E-05
1.200959 1.289861 1.618650E-05
1.201098 1.289861 1.633233E-05
1.201237 1.289860 1.629808E-05
1.201376 1.289860 1.651575E-05
1.201516 1.289861 1.802790E-05
1.201655 1.289861 1.607211E-05
1.201794 1.289860 1.599062E-05
1.201933 1.289860 1.749802E-05
1.202073 1.289861 1.618812E-05
1.202212 1.289860 1.639174E-05
1.202352 1.289860 1.666191E-05
1.202491 1.289860 1.809411E-05
1.202630 1.289861 1.702739E-05
1.202770 1.289860 1.711982E-05
1.202909 1.289860 1.725615E-05
1.203049 1.289861 1.836194E-05
1.203189 1.289861 1.636262E-05
1.203328 1.289860 1.623198E-05
1.203468 1.289860 1.688300E-05
1.203608 1.289861 1.769194E-05
1.203747 1.289861 1.667258E-05
1.203887 1.289860 1.539691E-05
1.204027 1.289859 1.618362E-05
1.204167 1.289859 1.832364E-05
1.204307 1.289860 1.779244E-05
1.204446 1.289860 1.794604E-05
1.204586 1.289860 1.747510E-05
1.204726 1.289860 1.779150E-05
1.204866 1.289860 1.721617E-05
1.205006 1.289860 1.712144E-05
1.205146 1.289860 1.658976E-05
1.205287 1.289859 1.702696E-05
1.205427 1.289859 1.819104E-05
1.205567 1.289860 1.797023E-05
1.205707 1.289860 1.723347E-05
1.205847 1.289859 1.803989E-05
1.205987 1.289860 1.850446E-05
1.206128 1.289860 1.845345E-05
1.206268 1.289860 1.796752E-05
1.206408 1.289860 1.832465E-05
1.206549 1.289860 1.896984E-05
1.206689 1.289861 1.815936E-05
1.206830 1.289861 1.803963E-05
1.206970 1.289861 1.794775E-05
1.207111 1.289860 1.717205E-05
1.207251 1.289860 1.759388E-05
1.207392 1.289860 1.789149E-05
1.207532 1.289860 1.731235E-05
1.207673 1.289860 1.809780E-05
1.207814 1.289860 1.757817E-05
1.207954 1.289859 1.614720E-05
1.208095 1.289858 1.885175E-05
1.208236 1.289859 1.924391E-05
1.208377 1.289860 1.954093E-05
1.208517 1.289860 1.923216E-05
1.208658 1.289860 1.858641E-05
1.208799 1.289860 1.857148E-05
1.208940 1.289860 1.844160E-05
1.209081 1.289860 1.745719E-05
1.209222 1.289860 1.898518E-05
1.209363 1.289860 1.853142E-05
1.209504 1.289860 1.884729E-05
1.209645 1.289860 1.904811E-05
1.209786 1.289860 1.837932E-05
1.209928 1.289860 1.951889E-05
1.210069 1.289861 1.959469E-05
1.210210 1.289861 1.822589E-05
1.210351 1.289860 1.677580E-05
1.210493 1.289860 1.848810E-05
1.210634 1.289860 1.898892E-05
1.210775 1.289861 1.826251E-05
1.210917 1.289861 1.746797E-05
1.211058 1.289860 1.776910E-05
